2026;15;2026.04.08.;0;0 Ft;58;274 175 Ft;2269;7 010 Ft;32960;2 495 Ft;2;13;14;27;28;29;31;2;4;12;21;25;30;33
2026;14;2026.04.01.;0;0 Ft;53;294 535 Ft;2214;7 050 Ft;33893;2 385 Ft;3;4;12;14;15;19;30;9;14;15;17;19;21;23
2026;13;2026.03.25.;0;0 Ft;72;213 400 Ft;2809;5 470 Ft;38746;2 055 Ft;4;8;9;12;18;22;23;7;10;17;20;22;23;29
2026;12;2026.03.18.;1;73 157 525 Ft;64;249 135 Ft;2581;6 180 Ft;36802;2 245 Ft;4;7;8;10;11;14;25;1;7;10;18;20;22;35
2026;11;2026.03.11.;2;36 348 485 Ft;130;121 880 Ft;4122;3 845 Ft;48359;1 695 Ft;5;7;8;14;22;27;29;1;3;7;17;19;21;28
2026;10;2026.03.04.;1;251 434 915 Ft;47;401 100 Ft;2379;7 925 Ft;37785;2 585 Ft;1;2;4;8;11;15;22;5;24;25;27;31;32;33
2026;9;2026.02.25.;0;0 Ft;74;243 830 Ft;3000;6 015 Ft;40948;2 280 Ft;9;10;11;13;15;23;30;2;7;9;11;21;30;31
2026;8;2026.02.18.;0;0 Ft;45;397 885 Ft;2370;7 555 Ft;37081;2 500 Ft;1;6;7;10;13;15;24;2;5;6;8;9;14;33
2026;7;2026.02.11.;1;300 568 340 Ft;44;412 660 Ft;2278;7 970 Ft;36992;2 540 Ft;12;16;19;20;25;29;33;3;12;13;14;15;21;26
2026;6;2026.02.04.;0;0 Ft;48;342 815 Ft;2221;7 410 Ft;33609;2 535 Ft;10;14;22;26;27;30;31;5;8;9;13;16;22;27
2026;5;2026.01.28.;0;0 Ft;35;449 745 Ft;1767;8 910 Ft;28836;2 825 Ft;16;21;22;24;26;31;33;2;3;5;19;26;27;28
2026;4;2026.01.21.;0;0 Ft;32;473 605 Ft;1940;7 810 Ft;31280;2 510 Ft;4;5;7;8;14;18;30;5;15;22;23;28;32;33
2026;3;2026.01.14.;1;290 906 715 Ft;47;357 720 Ft;2458;6 840 Ft;39561;2 200 Ft;7;18;19;21;23;24;27;7;8;10;14;15;27;31
2026;2;2026.01.07.;0;0 Ft;45;335 165 Ft;2203;6 845 Ft;31765;2 460 Ft;3;7;10;15;16;18;32;11;17;18;25;26;29;35
